언론사,섹션,발행시각,제목,URL
매일경제,사회,2026-08-27 15:27,안중근의사숭모회 신임 이사장 정세균,https://n.news.naver.com/article/009/0005726656
한국경제,경제,2026-08-27 15:26,반발 극심했던 지천댐 결국 짓는다…이유가 '충청 메가',https://n.news.naver.com/article/015/0005325505
매일경제,경제,2026-08-27 15:25,"[단독] 금융당국, 퇴근길 ETF 거래 당분간 없던일로",https://n.news.naver.com/article/009/0005726655
매일경제,경제,2026-08-27 15:23,"대형유통업체, 납품업체에 ‘갑질’ 반복하면 과징금 100% 가중",https://n.news.naver.com/article/009/0005726654
한국경제,경제,2026-08-27 15:23,"강태영 농협은행장, '사람 살리는 금융' 캠페인 참여",https://n.news.naver.com/article/015/0005325504
매일경제,경제,2026-08-27 15:22,"“대표적인 사회공헌 모델”…삼성화재 안내견학교, 개교 33주년 기념식",https://n.news.naver.com/article/009/0005726653
매일경제,생활/문화,2026-08-27 15:20,"‘오디세이’ 폭주에 결국…CGV, ‘용아맥’ 예매 제한 초강수",https://n.news.naver.com/article/009/0005726651
매일경제,IT/과학,2026-08-27 15:20,네이버 음원 플랫폼 ‘바이브’ 연말 서비스 종료한다,https://n.news.naver.com/article/009/0005726652
한국경제,사회,2026-08-27 15:20,"""443억 내놔라"" 소송했다가…11억 물어주게 된 회장님 [CEO와 법정]",https://n.news.naver.com/article/015/0005325503
매일경제,세계,2026-08-27 15:19,"“기도해 달라”…‘비정상회담’ 수잔, 고국 네팔 대홍수에 간곡한 호소",https://n.news.naver.com/article/009/0005726650
한국경제,정치,2026-08-27 15:18,"올 성장률 3.3% 전망에 靑 ""오랫동안 보지못한 높은 수치""",https://n.news.naver.com/article/015/0005325502
매일경제,경제,2026-08-27 15:17,"“내부통제 고도화”…남부발전, ‘6대 중점관리 분야’ 분과위 가동",https://n.news.naver.com/article/009/0005726648
매일경제,IT/과학,2026-08-27 15:17,"넥슨, ‘헬로메이플2’ 연계 월드 플랫폼에 출시",https://n.news.naver.com/article/009/0005726649
한국경제,사회,2026-08-27 15:17,"장미란 사건, 사인 논란에…경찰 야자수 강도 실험",https://n.news.naver.com/article/015/0005325501
매일경제,경제|사회|생활/문화,2026-08-27 15:15,"“443억 달라”던 홍원식, 오히려 11억 토해낸다…남양유업 손 들어준 법원",https://n.news.naver.com/article/009/0005726646
매일경제,경제,2026-08-27 15:14,공원·바다 조망 가능한 ‘시티오씨엘 9단지 오션파크뷰’ 분양,https://n.news.naver.com/article/009/0005726645
SBS,사회,2026-08-27 15:11,"중국 유학생 살해한 중국인 대학강사 구속…법원 ""도주 우려""",https://n.news.naver.com/article/055/0001383906
매일경제,생활/문화,2026-08-27 15:10,"“걸어가는 장면 보고 놀랐다”… 때아닌 ‘노브라 논란’ 황정음, 무슨 일이",https://n.news.naver.com/article/009/0005726644
한국경제,정치,2026-08-27 15:09,"국민 10명 중 6명 ""개헌 시 李 대선 불출마 입장 밝혀야""",https://n.news.naver.com/article/015/0005325500
SBS,사회,2026-08-27 15:09,"성남시, '분당 재건축 정비예정물량 제한 폐지' 등 정부 건의",https://n.news.naver.com/article/055/0001383905
매일경제,사회,2026-08-27 15:08,"차인표, 네팔 대홍수 참사에 “인류가 마음을 모을 때입니다”",https://n.news.naver.com/article/009/0005726641
